,,,,Palsa,,,,,,Fen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MAXIMUM,MAXIMUM,MAXIMUM,MAXIMUM,MAXIMUM,MAXIMUM,MAXIMUM,MAXIMUM,MAXIMUM,MAX,MAXIMUM,MAXIMUM,MINIMUM,MINIMUM,MINIMUM,MINIMUM,MINIMUM,MINIMUM,MINIMUM,MINIMUM,MINIMUM,MIN,TOTAL Kin,TOTAL
Month,DATE,YEAR,DAY,PT150,P0_0,P2_5,P5_0,P150,P160,F5_0,F150,BP5_0,S5_0,KIN,Wind,PT150a,P0_0a,P2_5a,P5_0a,P150a,P160a,F5_0a,F150a,BP5_0a,S5_0a,KINa,Winda,PT150a,P0_0b,P2_5b,P5_0b,P150b,P160b,F5_0b,F150b,BP5_0b,S5_0b,KINb,RAIN
1,90-01-01,1990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90-01-02,1990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90-01-03,1990,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90-01-04,1990,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90-01-05,1990,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90-01-06,1990,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90-01-07,1990,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90-01-08,1990,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90-01-09,1990,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90-01-10,1990,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90-01-11,1990,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90-01-12,1990,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
