,,,,Palsa,,,,,,,,,Fen,,Wind,Palsa,,,,,,,,,Fen,,Palsa,,,,,,,,,Fen,,,Insolation,
,,,,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MAXIMUM,MAXIMUM,MAXIMUM,MAXIMUM,MAXIMUM,MAXIMUM,MAXIMUM,MAXIMUM,MAXIMUM,MAXIMUM,MAXIMUM,MINIMUM,MINIMUM,MINIMUM,MINIMUM,MINIMUM,MINIMUM,MINIMUM,MINIMUM,MINIMUM,MINIMUM,MINIMUM,TOTAL,TOTAL Kin,TOTAL Kin
Month,Date,YEAR,DAY,P 150,P 0.0,P -2.5,P -5.0,P -150,P -215,P -385,PT -150,PT -215,BP -5,BP -150,WIND m/s,P 150,P 0.0,P -2.5,P -5.0,P -150,P -215,P -385,PT -150,PT -215,BP -5.0,BP -150,P 150,P 0.0,P -2.5,P -5.0,P -150,P -215,P -385,PT -150,PT -215,BP -5.0,BP -150,RAIN (cm),(kW/sq m),(W/sq m)
Month,Date,Year ,Day,Pg150,P0_0,P2_5,P5_0,P150,P215,P385,PT150,PT215,BP5,BP150,Wind,Pg150a,P0_0a,P2_5a,P5_0a,P150a,P215a,P385a,PT150a,PT215a,BP5a,BP150a,Pg150b,P0_0b,P2_5b,P5_0b,P150b,P215b,P385b,PT150b,PT215b,BP5b,BP150b,Rain,Kin1,Kin2
1,1/1/1990,1990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1/2/1990,1990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1/3/1990,1990,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1/4/1990,1990,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1/5/1990,1990,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1/6/1990,1990,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1/7/1990,1990,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
